purchase_id,customer_id,purchase_date,purchase_amount,product_category,repeat_buyer,customer_segment,promotion_flag,region
100043,CUST0660,2024-07-13,55.23,Sports,0,New,0,Central
100044,CUST0738,2022-10-14,130.33,Sports,0,New,0,East
100045,CUST0791,2024-01-08,79.88,Home,0,New,0,Central
100046,CUST2931,2022-08-09,104.72,Home,0,New,0,West
100047,CUST2752,2023-12-22,97.67,Electronics,0,New,1,South
100048,CUST1922,2024-04-24,70.63,Sports,0,New,0,West
100049,CUST0756,2022-08-09,157.37,Electronics,0,High Value,0,Central
100050,CUST1472,2022-04-02,151.46,Clothing,0,High Value,0,North
100051,CUST0537,2023-12-07,186.98,Clothing,0,High Value,0,North
100052,CUST1056,2022-03-31,131.42,Clothing,0,New,0,Central
100053,CUST2107,2022-05-19,164.94,Clothing,0,High Value,0,Central
100054,CUST2039,2023-09-26,45.64,Clothing,0,New,0,North
100055,CUST0004,2023-02-10,148.08,Electronics,0,New,0,East
100056,CUST2662,2024-02-13,54.44,Home,0,New,0,South
100057,CUST2552,2022-07-05,33.54,Electronics,0,New,0,East
100058,CUST1021,2022-03-14,81.75,Electronics,0,New,0,East
100059,CUST2776,2023-05-28,108.35,Sports,0,New,0,South
100060,CUST2479,2023-11-13,44.67,Clothing,0,New,1,Central
100061,CUST0116,2022-09-17,98.43,Home,0,New,0,South
100062,CUST0919,2022-09-01,187.63,Sports,0,High Value,0,East
100063,CUST2172,2023-03-24,39.86,Electronics,0,New,0,Central
100064,CUST0194,2022-03-13,142.77,Clothing,0,New,0,Central
100065,CUST0706,2023-06-13,183.07,Electronics,0,High Value,0,West
100066,CUST1536,2024-10-27,74.96,Home,0,New,0,West
100067,CUST2204,2024-03-25,128.16,Home,0,New,0,South
100068,CUST1568,2024-06-23,130.38,Clothing,0,New,1,East
100069,CUST1550,2023-01-21,80.1,Home,0,New,0,North
100070,CUST0243,2023-07-09,107.91,Clothing,0,New,0,Central
100071,CUST2615,2024-10-19,73.72,Home,0,New,0,South
100072,CUST0214,2022-08-02,137.16,Home,0,New,0,West
100073,CUST1931,2022-07-18,37.44,Electronics,0,New,0,East
100074,CUST1856,2024-04-29,91.35,Clothing,0,New,0,West
100075,CUST2085,2022-08-28,180.97,Electronics,0,High Value,0,East
100076,CUST2956,2024-10-24,56.33,Clothing,0,New,0,East
100077,CUST1654,2023-08-05,100.36,Clothing,0,New,0,Central
100078,CUST0955,2023-08-15,81.57,Clothing,0,New,0,South
100079,CUST2735,2023-04-02,147.42,Home,0,New,0,Central
100080,CUST0915,2023-03-04,23.07,Electronics,0,New,0,West
100081,CUST0045,2024-02-23,78.37,Clothing,0,New,0,West
100082,CUST2487,2024-05-29,148.56,Sports,0,New,0,Central
100083,CUST0518,2023-01-16,39.27,Clothing,0,New,0,South
100084,CUST0878,2023-10-13,77.43,Clothing,0,New,0,West
100085,CUST1964,2023-01-06,111.34,Sports,0,New,0,Central
100086,CUST0680,2022-12-14,145.33,Clothing,0,New,0,Central
100087,CUST2865,2024-11-19,43.93,Clothing,0,New,1,South
100088,CUST2638,2023-02-18,88.98,Home,0,New,0,North
100089,CUST1576,2022-05-18,196.93,Electronics,0,High Value,0,West
100090,CUST0365,2023-10-20,65.05,Home,0,New,0,West
100091,CUST2525,2024-04-08,48.98,Sports,0,New,0,Central
100092,CUST1075,2022-03-25,194.33,Electronics,0,High Value,0,North
100093,CUST2178,2023-06-21,37.59,Electronics,0,New,1,North
100094,CUST1739,2024-03-09,70.24,Clothing,0,New,0,North
100095,CUST1961,2022-10-08,162.9,Electronics,0,High Value,0,East
100096,CUST1818,2022-11-24,145.77,Electronics,0,New,1,West
100097,CUST1737,2023-07-06,65.99,Home,0,New,0,North
100098,CUST2598,2023-10-31,45.41,Home,0,New,0,Central
100099,CUST1221,2024-10-27,28.03,Home,0,New,0,Central
100100,CUST2665,2023-04-20,45.55,Clothing,0,New,0,Central
100101,CUST0003,2022-06-14,106.75,Sports,0,New,0,Central
100102,CUST2417,2022-01-15,196.97,Sports,0,High Value,0,East
100103,CUST0090,2022-04-10,184.05,Electronics,0,High Value,0,East
100104,CUST2107,2024-01-29,47.15,Sports,1,Occasional,0,Central
100105,CUST2684,2024-08-16,145.33,Clothing,0,New,0,North
100106,CUST1584,2022-09-01,196.17,Sports,0,High Value,0,West
100107,CUST2155,2022-12-18,90.27,Clothing,0,New,1,East
100108,CUST2891,2022-08-15,99.12,Clothing,0,New,0,West
100109,CUST2886,2024-09-16,114.9,Home,0,New,0,North
100110,CUST0103,2023-02-22,22.71,Sports,0,New,0,East
100111,CUST1271,2023-03-26,136.25,Clothing,0,New,0,North
100112,CUST2733,2024-02-21,147.73,Clothing,0,New,0,North
100113,CUST1579,2022-08-21,168.9,Sports,0,High Value,0,Central
100114,CUST2080,2023-02-15,168.4,Home,0,High Value,0,South
100115,CUST2549,2024-09-25,155.31,Electronics,0,High Value,0,East
100116,CUST0405,2024-01-27,58.23,Electronics,0,New,0,South
100117,CUST0645,2022-07-11,134.43,Sports,0,New,0,East
100118,CUST0382,2022-09-23,20.09,Home,0,New,0,East
100119,CUST1346,2024-10-23,154.42,Home,0,High Value,0,North
100120,CUST0773,2024-06-10,165.71,Home,0,High Value,1,North
100121,CUST2790,2024-10-14,101.23,Home,0,New,0,West
100122,CUST0662,2024-10-27,119.41,Clothing,0,New,0,West
100123,CUST0024,2022-11-25,165.0,Sports,0,High Value,1,South
100124,CUST2900,2022-06-20,50.68,Home,0,New,1,West
100125,CUST1266,2024-08-28,134.64,Home,0,New,0,South
100126,CUST2183,2022-11-23,192.78,Electronics,0,High Value,1,South
100127,CUST1751,2024-11-09,127.82,Clothing,0,New,0,East
100128,CUST1246,2022-03-17,191.18,Electronics,0,High Value,0,East
100129,CUST0845,2024-08-29,85.6,Sports,0,New,0,East
100130,CUST2586,2022-03-10,69.39,Clothing,0,New,0,North
100131,CUST0693,2022-03-19,144.18,Electronics,0,New,0,North
100132,CUST1864,2023-12-29,217.13,Electronics,0,High Value,1,South
100133,CUST2036,2023-07-30,119.88,Sports,0,New,0,North
100134,CUST2512,2024-05-17,168.91,Clothing,1,High Value,0,Central
100135,CUST1999,2022-08-08,174.06,Home,0,High Value,0,West
100136,CUST2674,2022-08-28,59.45,Home,0,New,0,South
100137,CUST0209,2024-08-27,194.62,Home,0,High Value,0,West
100138,CUST1550,2024-05-21,138.35,Clothing,1,Occasional,0,South
100139,CUST2417,2022-11-08,23.89,Electronics,1,Occasional,1,South
100140,CUST2559,2022-03-07,80.49,Clothing,0,New,0,North
100141,CUST2858,2022-05-12,86.51,Home,0,New,0,West
100142,CUST1722,2022-06-01,51.71,Home,0,New,0,Central
100143,CUST0295,2023-10-01,58.06,Sports,0,New,0,West
100144,CUST2894,2022-03-13,173.5,Clothing,0,High Value,0,East
100145,CUST2859,2024-07-11,49.06,Electronics,0,New,0,South
100146,CUST2851,2024-03-10,181.81,Home,0,High Value,0,North
100147,CUST0847,2023-06-08,127.71,Clothing,0,New,0,West
100148,CUST0901,2023-02-03,103.74,Clothing,0,New,0,South
100149,CUST0958,2024-09-29,127.25,Home,0,New,0,North
100150,CUST2598,2022-08-05,78.57,Clothing,1,Occasional,0,East
100151,CUST1635,2022-04-28,33.41,Home,0,New,0,North
100152,CUST1522,2023-01-27,148.15,Sports,0,New,0,South
100153,CUST1353,2024-12-01,192.09,Home,0,High Value,1,South
100154,CUST1096,2022-07-03,148.21,Electronics,0,New,0,North
100155,CUST1737,2023-01-09,178.37,Sports,1,High Value,0,South
100156,CUST1222,2024-12-25,215.88,Sports,0,High Value,1,South
100157,CUST2500,2023-08-16,162.39,Home,0,High Value,0,South
100158,CUST2716,2024-03-23,188.53,Sports,0,High Value,0,West
100159,CUST0992,2022-01-08,168.05,Electronics,0,High Value,0,South
100160,CUST0012,2024-04-22,173.64,Clothing,0,High Value,0,East
100161,CUST1725,2022-01-02,183.03,Electronics,0,High Value,0,East
100162,CUST0310,2023-08-19,103.4,Sports,0,New,0,South
100163,CUST0430,2023-03-30,76.55,Home,0,New,0,East
100164,CUST2948,2022-11-14,158.71,Sports,0,High Value,0,North
100165,CUST2722,2022-04-18,172.68,Electronics,0,High Value,0,West
100166,CUST2895,2023-10-23,151.95,Electronics,0,High Value,0,North
100167,CUST1783,2022-09-01,66.83,Clothing,0,New,0,South
100168,CUST2859,2024-05-24,122.22,Electronics,1,Occasional,0,Central
100169,CUST0857,2024-12-13,63.27,Clothing,0,New,1,East
100170,CUST2354,2022-05-27,172.6,Clothing,0,High Value,0,West
100171,CUST1998,2023-08-21,136.04,Clothing,0,New,0,West
100172,CUST1998,2022-08-23,174.43,Clothing,1,High Value,0,East
100173,CUST0704,2023-04-07,141.64,Home,0,New,0,Central
100174,CUST1180,2022-04-16,174.32,Sports,0,High Value,0,North
100175,CUST0455,2023-07-02,69.9,Home,0,New,0,South
100176,CUST1412,2022-08-15,115.87,Home,0,New,0,Central
100177,CUST0738,2023-12-04,154.22,Electronics,1,High Value,1,Central
100178,CUST0254,2024-02-03,53.67,Sports,0,New,0,Central
100179,CUST1937,2023-06-23,157.07,Clothing,0,High Value,0,West
100180,CUST1366,2024-06-27,166.76,Clothing,0,High Value,1,East
100181,CUST0673,2022-09-02,124.27,Electronics,0,New,0,Central
100182,CUST0815,2024-06-05,57.52,Home,0,New,1,East
100183,CUST2124,2022-06-02,53.46,Clothing,0,New,1,North
100184,CUST2905,2023-09-10,153.07,Clothing,0,High Value,0,East
100185,CUST2353,2023-02-24,88.01,Sports,0,New,0,East
100186,CUST1220,2024-07-13,116.39,Electronics,0,New,0,West
100187,CUST2060,2022-08-15,60.95,Electronics,0,New,0,West
100188,CUST0487,2023-04-28,20.92,Home,0,New,0,Central
100189,CUST2637,2023-05-24,179.85,Home,0,High Value,0,Central
100190,CUST1640,2022-05-22,83.4,Clothing,0,New,0,South
100191,CUST2053,2024-05-15,113.05,Clothing,0,New,0,West
100192,CUST2042,2023-12-30,120.23,Clothing,0,New,0,South
100193,CUST1181,2023-11-23,52.5,Clothing,0,New,1,North
100194,CUST0133,2024-01-26,145.69,Home,0,New,0,North
100195,CUST2933,2023-11-11,133.32,Sports,0,New,0,East
100196,CUST1946,2022-04-03,25.19,Clothing,0,New,0,Central
100197,CUST1536,2023-10-26,31.24,Electronics,1,Occasional,0,South
100198,CUST1852,2024-02-01,199.77,Electronics,0,High Value,0,Central
100199,CUST0380,2023-01-04,140.09,Electronics,0,New,0,South
100200,CUST2393,2024-03-08,138.7,Home,0,New,0,South
100201,CUST2954,2022-06-08,187.3,Electronics,0,High Value,0,West
100202,CUST0061,2022-01-19,162.62,Home,0,High Value,0,East
100203,CUST1007,2024-07-23,66.59,Electronics,0,New,0,Central
100204,CUST2885,2024-04-08,137.1,Clothing,0,New,0,North
100205,CUST1343,2023-07-18,131.27,Home,0,New,0,West
100206,CUST0144,2022-03-25,176.38,Electronics,0,High Value,0,Central
100207,CUST2994,2023-02-24,181.86,Electronics,0,High Value,0,West
100208,CUST1961,2024-12-14,128.66,Sports,1,Occasional,1,Central
100209,CUST1304,2023-09-12,139.28,Clothing,0,New,0,North
100210,CUST1072,2023-09-24,113.67,Clothing,0,New,0,East
100211,CUST2276,2023-05-21,99.74,Home,0,New,0,East
100212,CUST2399,2022-10-11,26.22,Clothing,0,New,0,West
100213,CUST1698,2024-11-12,142.42,Home,0,New,1,South
100214,CUST1051,2023-06-02,115.79,Sports,0,New,1,South
100215,CUST1457,2023-07-17,169.22,Sports,0,High Value,0,South
100216,CUST0129,2023-06-30,30.43,Home,0,New,1,North
100217,CUST1174,2023-12-23,58.0,Clothing,0,New,1,South
100218,CUST2067,2023-04-08,184.31,Electronics,0,High Value,0,Central
100219,CUST0857,2024-01-13,188.49,Clothing,1,High Value,0,North
100220,CUST0424,2022-07-21,32.08,Sports,0,New,0,East
100221,CUST1072,2023-01-04,176.85,Home,1,High Value,0,Central
100222,CUST0449,2023-08-09,107.96,Home,0,New,0,North
100223,CUST1150,2023-05-12,170.77,Sports,0,High Value,0,North
100224,CUST2924,2022-06-11,219.1,Home,0,High Value,1,South
100225,CUST2188,2023-04-29,187.31,Sports,0,High Value,0,South
100226,CUST1966,2022-10-21,176.84,Clothing,0,High Value,0,East
100227,CUST0694,2024-12-26,128.91,Sports,0,New,1,North
100228,CUST0502,2023-11-16,82.59,Home,0,New,1,South
100229,CUST2627,2022-10-12,34.46,Electronics,0,New,0,Central
100230,CUST2982,2024-07-21,83.66,Sports,0,New,0,Central
100231,CUST0232,2022-12-26,75.16,Sports,0,New,1,North
100232,CUST1581,2024-10-06,93.1,Clothing,0,New,0,North
100233,CUST1568,2024-09-21,37.65,Clothing,1,Occasional,0,East
100234,CUST2010,2022-02-01,117.77,Sports,0,New,0,Central
100235,CUST1782,2023-12-14,153.84,Sports,0,High Value,1,Central
100236,CUST1333,2022-08-18,116.42,Electronics,0,New,0,East
100237,CUST1539,2024-08-11,109.53,Home,0,New,0,Central
100238,CUST2059,2024-01-05,104.89,Sports,0,New,0,East
100239,CUST1114,2022-04-02,96.6,Clothing,0,New,0,West
100240,CUST2485,2022-10-10,75.89,Electronics,0,New,0,West
100241,CUST2028,2022-10-01,24.79,Clothing,0,New,0,South
100242,CUST2448,2022-09-03,187.49,Sports,0,High Value,0,Central
100243,CUST0114,2024-05-23,116.3,Electronics,0,New,0,Central
100244,CUST1586,2023-10-29,148.26,Sports,0,New,0,East
100245,CUST0675,2023-10-31,158.56,Clothing,0,High Value,0,South
100246,CUST2544,2022-02-22,192.28,Electronics,0,High Value,0,Central
100247,CUST0623,2024-09-18,64.68,Home,0,New,0,South
100248,CUST2551,2024-03-10,87.67,Home,0,New,0,South
100249,CUST0335,2022-12-17,173.72,Sports,0,High Value,0,West
100250,CUST2706,2023-08-30,199.78,Electronics,0,High Value,0,East
100251,CUST0447,2024-04-27,43.34,Sports,0,New,0,South
100252,CUST2803,2024-11-18,137.95,Sports,0,New,1,South
100253,CUST2515,2022-10-28,45.78,Clothing,0,New,0,North
100254,CUST0473,2024-10-04,51.81,Electronics,0,New,0,West
100255,CUST0098,2024-09-23,99.47,Electronics,0,New,0,Central
100256,CUST2956,2024-04-20,106.91,Home,1,Occasional,0,Central
100257,CUST2387,2022-06-10,109.4,Home,0,New,1,North
100258,CUST0018,2022-08-19,137.38,Electronics,0,New,0,East
100259,CUST2320,2024-06-10,34.29,Sports,0,New,0,South
100260,CUST1018,2024-08-31,124.07,Electronics,0,New,0,South
100261,CUST2458,2022-04-11,30.57,Sports,1,Occasional,0,South
100262,CUST0976,2022-09-02,100.34,Home,0,New,0,North
100263,CUST2848,2022-12-06,103.61,Clothing,0,New,0,South
100264,CUST2903,2022-10-05,142.47,Home,0,New,0,Central
100265,CUST0405,2024-04-11,166.24,Home,1,High Value,0,West
100266,CUST1946,2022-10-11,150.53,Home,1,High Value,0,Central
100267,CUST1303,2023-08-29,189.62,Home,0,High Value,0,North
100268,CUST1351,2023-04-11,130.73,Sports,0,New,0,Central
100269,CUST2096,2024-05-27,169.75,Clothing,0,High Value,0,Central
100270,CUST0339,2023-09-26,108.36,Clothing,0,New,0,South
100271,CUST2016,2024-04-11,38.32,Sports,0,New,0,West
100272,CUST0472,2023-02-05,124.19,Electronics,0,New,0,South
100273,CUST2523,2023-10-19,85.38,Home,0,New,0,North
100274,CUST0331,2024-12-26,29.82,Sports,0,New,0,North
100275,CUST1196,2022-12-27,116.09,Sports,1,Occasional,1,Central
100276,CUST1493,2022-11-01,133.39,Home,0,New,0,East
100277,CUST1957,2023-05-28,103.64,Sports,0,New,0,North
100278,CUST2972,2022-12-29,95.9,Electronics,0,New,1,South
100279,CUST1697,2022-12-03,29.55,Clothing,0,New,0,Central
100280,CUST0550,2023-02-01,25.45,Sports,0,New,0,South
100281,CUST0008,2024-05-09,185.26,Clothing,0,High Value,0,South
100282,CUST0950,2022-03-17,91.01,Sports,0,New,0,West
100283,CUST1712,2024-08-16,25.67,Electronics,0,New,0,East
100284,CUST0175,2023-12-29,73.7,Electronics,0,New,1,North
100285,CUST2693,2023-09-25,115.03,Electronics,0,New,0,Central
100286,CUST0571,2024-08-07,167.92,Home,0,High Value,0,East
100287,CUST1408,2024-10-16,187.33,Sports,0,High Value,0,Central
100288,CUST2378,2023-07-01,64.69,Home,0,New,0,North
100289,CUST2543,2022-12-01,74.76,Clothing,0,New,1,West
100290,CUST1585,2022-04-15,149.98,Electronics,0,New,0,North
100291,CUST0471,2022-02-12,178.18,Electronics,0,High Value,0,West
100292,CUST2120,2024-11-07,95.16,Electronics,0,New,1,Central
100293,CUST1385,2024-02-16,69.36,Electronics,0,New,0,Central
100294,CUST2007,2022-05-17,68.14,Sports,0,New,0,South
100295,CUST0692,2023-07-29,70.56,Home,0,New,0,Central
100296,CUST2287,2023-08-21,116.13,Clothing,0,New,0,North
100297,CUST1476,2022-11-08,153.02,Clothing,0,High Value,1,Central
100298,CUST0830,2024-08-17,177.14,Home,0,High Value,0,Central
100299,CUST2330,2022-05-14,135.36,Clothing,0,New,0,North
100300,CUST1540,2024-03-03,177.85,Clothing,0,High Value,0,East
100301,CUST1284,2024-11-10,30.38,Clothing,0,New,1,West
100302,CUST0071,2023-03-04,131.46,Electronics,0,New,0,South
100303,CUST0298,2023-02-11,126.45,Clothing,0,New,0,South
100304,CUST0147,2024-09-23,86.68,Home,0,New,0,North
100305,CUST2074,2024-09-18,37.62,Clothing,0,New,0,West
100306,CUST2196,2024-10-01,168.17,Clothing,0,High Value,0,North
100307,CUST1574,2023-05-02,164.13,Clothing,0,High Value,0,North
100308,CUST0162,2022-01-19,33.74,Sports,0,New,0,North
100309,CUST0783,2022-05-21,50.73,Clothing,0,New,0,North
100310,CUST2292,2023-01-03,158.72,Electronics,0,High Value,0,North
100311,CUST0877,2023-11-30,23.7,Home,0,New,0,North
100312,CUST0526,2022-01-02,33.82,Electronics,0,New,0,Central
100313,CUST1517,2023-09-04,49.15,Clothing,0,New,0,South
100314,CUST2437,2022-07-16,101.28,Electronics,0,New,0,East
100315,CUST0222,2023-02-24,31.6,Home,0,New,0,North
100316,CUST2493,2023-11-26,113.5,Electronics,0,New,0,South
100317,CUST1163,2022-04-28,66.44,Home,0,New,0,East
100318,CUST2453,2024-08-02,109.49,Clothing,0,New,0,North
100319,CUST1294,2022-10-08,38.32,Clothing,0,New,0,South
100320,CUST1499,2022-11-18,35.27,Electronics,0,New,1,Central
100321,CUST0486,2023-02-12,63.7,Sports,0,New,0,East
100322,CUST2355,2023-03-11,182.47,Home,0,High Value,0,East
100323,CUST1963,2023-07-09,87.27,Sports,0,New,0,Central
100324,CUST2388,2023-01-15,122.81,Electronics,0,New,0,North
100325,CUST0010,2023-02-06,165.74,Home,0,High Value,0,North
100326,CUST0327,2023-06-05,174.31,Home,0,High Value,1,East
100327,CUST2813,2023-11-23,126.89,Electronics,0,New,1,North
100328,CUST1246,2024-05-08,113.17,Home,1,Occasional,0,East
100329,CUST2171,2023-04-29,115.34,Home,0,New,0,North
100330,CUST1305,2022-01-09,116.19,Electronics,0,New,0,North
100331,CUST2420,2024-01-02,76.52,Electronics,0,New,0,West
100332,CUST1759,2023-09-13,99.0,Electronics,0,New,0,East
100333,CUST1243,2024-01-23,186.43,Electronics,0,High Value,0,North
100334,CUST2670,2024-11-19,163.03,Sports,0,High Value,0,Central
100335,CUST0874,2024-04-26,65.32,Home,0,New,0,North
100336,CUST0041,2023-02-18,39.54,Electronics,0,New,0,North
100337,CUST0777,2022-07-02,67.3,Home,0,New,0,Central
100338,CUST2925,2024-08-27,49.19,Sports,0,New,0,Central
100339,CUST1477,2022-08-12,150.53,Clothing,0,High Value,0,South
100340,CUST2468,2024-05-05,69.41,Home,0,New,0,West
100341,CUST0999,2022-01-04,36.83,Electronics,0,New,0,East
100342,CUST0431,2024-01-09,196.5,Sports,0,High Value,0,East
100343,CUST0861,2024-10-26,181.12,Home,0,High Value,0,East
100344,CUST2304,2024-03-22,98.83,Electronics,0,New,0,North
100345,CUST0676,2024-10-03,133.59,Electronics,0,New,0,Central
100346,CUST1708,2022-05-28,75.44,Electronics,0,New,0,West
100347,CUST2102,2024-01-29,145.8,Home,0,New,0,South
100348,CUST1193,2024-08-09,130.75,Clothing,0,New,0,North
100349,CUST0668,2024-03-26,195.42,Clothing,0,High Value,0,East
100350,CUST1785,2023-02-28,54.7,Clothing,0,New,0,South
100351,CUST1333,2022-08-01,30.51,Electronics,1,Occasional,0,East
100352,CUST0721,2022-02-27,140.86,Clothing,0,New,0,Central
100353,CUST0954,2023-04-08,151.54,Home,0,High Value,0,South
100354,CUST0575,2022-06-26,200.89,Home,0,High Value,1,East
100355,CUST0713,2024-11-06,70.6,Sports,0,New,1,East
100356,CUST2622,2022-12-18,23.77,Clothing,0,New,1,South
100357,CUST0189,2023-02-03,133.57,Home,0,New,0,Central
100358,CUST0116,2024-08-13,29.32,Sports,1,Occasional,0,West
100359,CUST1052,2024-11-04,43.38,Home,0,New,1,North
100360,CUST1650,2022-01-12,131.87,Clothing,0,New,0,South
100361,CUST2850,2023-04-26,189.41,Home,0,High Value,0,West
100362,CUST2666,2023-08-15,126.51,Clothing,0,New,0,East
100363,CUST1411,2022-01-03,48.88,Electronics,0,New,0,North
100364,CUST1958,2023-06-13,94.23,Sports,0,New,1,Central
100365,CUST2420,2023-03-31,101.22,Home,1,Occasional,0,Central
100366,CUST0488,2023-08-09,164.03,Clothing,0,High Value,0,North
100367,CUST2919,2024-12-06,88.03,Sports,0,New,1,North
100368,CUST2571,2024-03-11,106.81,Electronics,0,New,0,West
100369,CUST0147,2023-11-06,51.93,Clothing,1,Occasional,1,West
100370,CUST0474,2023-08-08,71.29,Sports,0,New,0,North
100371,CUST0160,2024-04-19,191.52,Electronics,0,High Value,0,West
100372,CUST2559,2022-03-12,130.43,Clothing,1,Occasional,0,South
100373,CUST2054,2024-11-17,94.91,Home,0,New,1,Central
100374,CUST2223,2023-02-09,174.8,Sports,0,High Value,0,West
100375,CUST2154,2023-05-28,115.3,Electronics,0,New,0,West
100376,CUST2823,2023-05-27,148.7,Electronics,0,New,0,South
100377,CUST0184,2023-02-04,79.03,Sports,1,Occasional,0,South
100378,CUST1677,2024-07-26,192.19,Sports,0,High Value,0,West
100379,CUST1942,2023-04-30,42.64,Clothing,0,New,0,West
100380,CUST2494,2024-12-10,117.87,Home,0,New,0,Central
100381,CUST2531,2022-05-27,148.16,Clothing,0,New,0,Central
100382,CUST1831,2022-10-12,182.6,Sports,0,High Value,0,South
100383,CUST0648,2024-03-19,157.41,Electronics,0,High Value,0,South
100384,CUST0454,2024-05-21,138.61,Electronics,0,New,0,South
100385,CUST1932,2023-12-21,88.22,Sports,0,New,1,East
100386,CUST0095,2023-01-15,142.78,Clothing,0,New,0,North
100387,CUST1918,2022-11-23,217.57,Clothing,0,High Value,1,West
100388,CUST1139,2022-03-27,177.64,Home,0,High Value,0,West
100389,CUST1867,2024-02-12,67.37,Electronics,0,New,0,East
100390,CUST2356,2022-10-29,67.96,Sports,0,New,0,West
100391,CUST2962,2022-07-07,180.19,Home,0,High Value,0,South
100392,CUST2722,2022-08-12,107.58,Sports,1,Occasional,0,West
100393,CUST2758,2022-06-11,127.99,Sports,0,New,1,South
100394,CUST1834,2024-04-14,50.15,Electronics,0,New,0,South
100395,CUST1446,2023-04-30,66.51,Home,0,New,0,North
100396,CUST1709,2024-05-26,37.69,Electronics,0,New,0,South
100397,CUST0939,2023-08-14,150.41,Electronics,0,High Value,0,Central
100398,CUST0803,2022-10-16,157.13,Home,0,High Value,0,North
100399,CUST0731,2023-07-10,20.81,Sports,0,New,0,Central
100400,CUST0793,2022-07-18,156.7,Sports,0,High Value,0,North
100401,CUST0432,2022-08-20,196.38,Electronics,0,High Value,0,South
100402,CUST2328,2022-03-08,171.87,Electronics,0,High Value,0,East
100403,CUST2100,2022-09-11,169.57,Sports,0,High Value,0,West
100404,CUST2883,2022-08-28,22.15,Sports,0,New,0,West
100405,CUST0842,2022-11-13,210.17,Home,0,High Value,1,Central
100406,CUST0117,2023-08-23,117.05,Sports,0,New,0,East
100407,CUST0004,2024-02-27,116.94,Clothing,1,Occasional,0,East
100408,CUST2951,2024-06-29,35.25,Electronics,0,New,1,Central
100409,CUST1972,2022-01-15,35.73,Clothing,0,New,0,East
100410,CUST1250,2024-03-25,118.63,Electronics,0,New,0,East
100411,CUST0664,2022-04-13,92.06,Electronics,0,New,0,North
100412,CUST1496,2023-08-30,134.6,Clothing,0,New,0,South
100413,CUST0892,2023-08-24,199.2,Home,0,High Value,0,North
100414,CUST1496,2024-12-30,145.53,Sports,1,Occasional,1,Central
100415,CUST0186,2022-09-21,122.35,Home,0,New,0,East
100416,CUST1260,2024-10-05,93.67,Electronics,0,New,0,East
100417,CUST1064,2024-09-15,73.9,Electronics,0,New,0,Central
100418,CUST1529,2024-02-18,26.71,Sports,0,New,0,North
