purchase_id,customer_id,purchase_date,purchase_amount,product_category,repeat_buyer,customer_segment,promotion_flag,region,inventory_index
100040,CUST1678,2023-01-09,184.62,Sports,0,High Value,0,West,64.31
100041,CUST2612,2022-11-24,33.79,Sports,0,New,1,West,146.72
100042,CUST2793,2023-12-07,37.17,Electronics,0,New,0,Central,198.57
100043,CUST0197,2024-03-28,61.71,Electronics,0,New,0,South,139.87
100044,CUST0710,2022-09-29,84.0,Home,0,New,0,East,125.73
100045,CUST2566,2022-01-21,191.87,Clothing,0,High Value,0,South,94.05
100046,CUST0202,2023-01-02,114.07,Electronics,0,New,0,West,111.0
100047,CUST0271,2022-03-15,52.81,Clothing,1,Occasional,0,Central,63.63
100048,CUST2152,2022-11-27,132.14,Clothing,0,New,1,West,75.72
100049,CUST0043,2022-03-03,53.19,Sports,0,New,0,East,155.36
100050,CUST1799,2024-06-21,66.3,Electronics,0,New,1,West,197.02
100051,CUST2680,2024-09-21,185.4,Electronics,0,High Value,0,West,183.45
100052,CUST1890,2023-03-20,179.59,Electronics,0,High Value,0,West,175.66
100053,CUST0761,2022-06-07,203.15,Sports,0,High Value,1,Central,79.75
100054,CUST1553,2023-07-13,82.49,Sports,0,New,0,South,122.58
100055,CUST2059,2023-07-08,109.83,Home,0,New,0,South,65.6
100056,CUST0638,2024-11-04,66.27,Clothing,0,New,0,North,76.61
100057,CUST2696,2023-10-19,76.69,Clothing,0,New,0,West,163.14
100058,CUST2505,2024-01-22,166.37,Clothing,0,High Value,0,South,121.98
100059,CUST1206,2022-04-06,166.51,Clothing,0,High Value,0,East,165.03
100060,CUST1833,2022-08-06,159.94,Home,0,High Value,0,East,135.98
100061,CUST0949,2023-06-02,211.34,Clothing,0,High Value,1,Central,53.16
100062,CUST1630,2024-09-04,61.31,Sports,0,New,0,West,75.46
100063,CUST0055,2023-02-18,143.89,Electronics,0,New,0,South,122.54
100064,CUST2845,2022-08-16,171.41,Electronics,0,High Value,0,West,155.34
100065,CUST1871,2024-06-12,126.24,Clothing,0,New,0,West,190.06
100066,CUST1019,2023-05-19,193.29,Clothing,0,High Value,0,Central,90.03
100067,CUST1227,2024-02-22,70.13,Home,0,New,0,East,123.64
100068,CUST0063,2022-05-05,139.19,Sports,0,New,0,North,71.85
100069,CUST0621,2022-11-02,169.84,Sports,0,High Value,1,North,139.88
100070,CUST0202,2024-05-03,39.67,Electronics,1,Occasional,0,South,125.43
100071,CUST1746,2023-02-06,183.34,Clothing,0,High Value,0,North,171.86
100072,CUST1396,2023-03-17,60.9,Clothing,0,New,0,Central,96.69
100073,CUST1009,2024-10-01,37.43,Clothing,0,New,0,Central,149.76
100074,CUST2197,2023-04-20,118.96,Home,0,New,0,South,74.23
100075,CUST2698,2024-09-06,45.83,Electronics,0,New,0,West,177.59
100076,CUST0224,2024-06-20,85.94,Sports,0,New,1,North,84.34
100077,CUST2617,2024-02-02,177.42,Sports,0,High Value,0,West,136.19
100078,CUST0165,2022-04-22,163.08,Home,0,High Value,0,East,146.34
100079,CUST2856,2024-01-06,138.79,Sports,0,New,0,Central,95.62
100080,CUST0157,2022-12-05,191.12,Sports,0,High Value,1,West,104.97
100081,CUST0009,2023-03-19,155.28,Home,0,High Value,0,South,77.85
100082,CUST0855,2023-10-30,188.51,Clothing,0,High Value,0,West,123.36
100083,CUST1560,2022-07-15,68.62,Clothing,0,New,0,North,182.52
100084,CUST2896,2022-06-24,23.08,Home,1,Occasional,1,South,140.79
100085,CUST2837,2022-04-24,68.66,Sports,0,New,0,East,111.4
100086,CUST0128,2024-05-19,98.05,Electronics,0,New,0,East,66.38
100087,CUST0770,2024-04-17,93.58,Sports,0,New,0,Central,149.44
100088,CUST2755,2024-08-16,140.84,Electronics,0,New,0,South,105.89
100089,CUST2712,2023-05-24,156.17,Clothing,0,High Value,0,East,171.2
100090,CUST0602,2024-03-02,153.28,Electronics,0,High Value,0,West,87.25
100091,CUST0884,2023-05-25,103.56,Sports,0,New,0,North,147.4
100092,CUST1481,2024-10-26,71.92,Clothing,0,New,0,East,63.57
100093,CUST0045,2024-07-02,115.97,Clothing,0,New,0,East,81.66
100094,CUST0205,2024-10-31,26.27,Clothing,0,New,0,East,125.88
100095,CUST0669,2022-06-27,114.43,Sports,0,New,1,East,177.54
100096,CUST0274,2024-09-01,184.69,Clothing,0,High Value,0,South,115.21
100097,CUST2861,2023-02-26,33.44,Clothing,0,New,0,North,191.75
100098,CUST2953,2023-01-12,176.15,Sports,0,High Value,0,West,73.49
100099,CUST1912,2024-10-01,60.5,Home,0,New,0,North,58.73
100100,CUST1920,2023-07-11,182.4,Clothing,0,High Value,0,North,142.22
100101,CUST1228,2022-08-20,54.8,Electronics,0,New,0,North,95.46
100102,CUST0817,2024-05-18,94.99,Sports,0,New,0,North,182.79
100103,CUST2976,2023-11-21,187.15,Home,0,High Value,1,North,158.37
100104,CUST1229,2022-06-11,108.84,Clothing,0,New,1,West,106.28
100105,CUST2869,2023-08-12,32.32,Sports,0,New,0,South,111.39
100106,CUST1798,2023-03-06,96.11,Sports,0,New,0,North,191.14
100107,CUST0219,2024-08-20,118.24,Electronics,0,New,0,West,85.72
100108,CUST0262,2022-06-22,72.97,Clothing,0,New,0,West,66.48
100109,CUST2881,2024-03-11,190.94,Electronics,0,High Value,0,West,173.92
100110,CUST2974,2023-07-30,120.18,Electronics,0,New,0,South,99.78
100111,CUST0208,2024-07-09,77.55,Electronics,0,New,0,West,164.02
100112,CUST1989,2023-07-15,149.69,Home,0,New,0,West,82.55
100113,CUST1523,2022-08-25,45.62,Electronics,0,New,0,West,67.7
100114,CUST0772,2022-12-07,159.31,Sports,0,High Value,1,East,151.26
100115,CUST2598,2022-07-01,20.92,Sports,0,New,0,North,179.79
100116,CUST2108,2023-04-25,181.33,Electronics,0,High Value,0,South,81.12
100117,CUST0705,2023-03-31,132.52,Home,0,New,0,West,62.69
100118,CUST0915,2023-06-08,121.66,Home,0,New,1,West,158.49
100119,CUST2437,2022-04-29,140.36,Electronics,0,New,0,North,145.46
100120,CUST0993,2023-07-20,157.02,Clothing,0,High Value,0,South,146.83
100121,CUST2923,2022-09-08,89.58,Sports,0,New,0,North,58.28
100122,CUST2150,2024-05-17,124.65,Home,0,New,0,North,113.95
100123,CUST0717,2023-12-21,165.71,Sports,0,High Value,0,North,166.49
100124,CUST0100,2022-01-21,123.88,Electronics,0,New,0,Central,120.7
100125,CUST2400,2022-01-17,48.76,Clothing,0,New,0,West,159.94
100126,CUST0267,2022-11-28,188.79,Clothing,0,High Value,1,Central,154.01
100127,CUST0562,2022-01-14,184.42,Home,0,High Value,0,North,149.04
100128,CUST0610,2022-09-28,120.4,Sports,0,New,0,North,132.79
100129,CUST0358,2023-01-09,45.02,Home,0,New,0,North,173.84
100130,CUST1073,2022-09-12,116.74,Electronics,0,New,0,South,193.48
100131,CUST0706,2024-11-20,23.47,Clothing,0,New,0,South,97.41
100132,CUST0184,2024-11-22,72.74,Electronics,0,New,0,North,179.13
100133,CUST1332,2024-10-25,188.18,Home,0,High Value,0,East,161.75
100134,CUST1179,2023-11-12,169.26,Electronics,0,High Value,1,East,80.15
100135,CUST1401,2024-03-16,194.0,Electronics,0,High Value,0,North,171.66
100136,CUST2324,2022-09-23,160.02,Home,0,High Value,0,West,96.24
100137,CUST0909,2022-03-16,160.51,Home,0,High Value,0,East,50.58
100138,CUST0608,2023-10-18,44.84,Sports,0,New,0,Central,95.03
100139,CUST0707,2024-05-25,87.53,Home,0,New,0,North,70.12
100140,CUST2073,2022-06-08,180.73,Home,0,High Value,1,South,142.49
100141,CUST2886,2024-06-25,88.65,Electronics,0,New,1,South,182.66
100142,CUST0221,2022-04-21,118.1,Clothing,0,New,0,South,109.57
100143,CUST0901,2023-01-10,96.83,Electronics,0,New,0,West,130.26
100144,CUST2186,2023-10-01,152.53,Home,0,High Value,0,East,56.19
100145,CUST1495,2024-05-02,39.12,Clothing,0,New,0,North,126.69
100146,CUST0046,2023-08-31,171.17,Home,0,High Value,0,North,125.35
100147,CUST1879,2023-06-09,28.84,Home,0,New,1,South,147.3
100148,CUST2913,2022-05-31,120.39,Sports,0,New,0,West,197.18
100149,CUST1081,2023-12-19,186.73,Sports,0,High Value,0,North,64.72
100150,CUST0726,2024-03-10,184.26,Home,0,High Value,0,East,50.69
100151,CUST1022,2024-09-24,145.09,Home,0,New,0,South,79.54
100152,CUST2614,2024-11-22,126.58,Clothing,0,New,0,South,119.29
100153,CUST0104,2022-07-14,132.44,Sports,0,New,0,Central,166.48
100154,CUST2428,2022-10-06,65.13,Home,0,New,0,North,127.41
100155,CUST1050,2024-03-21,141.56,Clothing,0,New,0,East,172.88
100156,CUST0941,2022-08-07,76.13,Home,0,New,0,South,85.47
100157,CUST2145,2023-04-07,75.3,Clothing,0,New,0,Central,119.85
100158,CUST1384,2022-08-24,182.04,Sports,0,High Value,0,Central,175.69
100159,CUST0209,2023-09-22,44.77,Sports,0,New,0,North,190.0
100160,CUST2854,2024-01-08,168.65,Home,0,High Value,0,Central,105.38
100161,CUST2921,2024-09-03,117.67,Home,0,New,0,Central,100.44
100162,CUST1376,2022-07-24,145.89,Clothing,0,New,0,South,84.24
100163,CUST1676,2024-02-01,47.9,Clothing,0,New,0,Central,161.19
100164,CUST1686,2024-12-04,91.93,Sports,0,New,0,Central,53.04
100165,CUST2465,2022-04-06,118.64,Sports,0,New,0,Central,143.25
100166,CUST0755,2023-10-16,25.4,Clothing,0,New,0,West,113.87
100167,CUST1152,2024-11-26,142.32,Home,0,New,1,East,161.58
100168,CUST1919,2023-06-16,132.66,Home,0,New,1,West,124.82
100169,CUST2864,2023-08-02,70.71,Sports,0,New,0,West,67.55
100170,CUST2698,2024-06-06,47.54,Home,1,Occasional,1,Central,87.46
100171,CUST2702,2022-10-11,98.58,Electronics,0,New,0,North,151.97
100172,CUST1548,2024-10-24,82.19,Electronics,0,New,0,Central,151.35
100173,CUST0088,2023-04-26,87.57,Clothing,0,New,0,West,91.23
100174,CUST0347,2023-07-23,22.97,Sports,0,New,0,North,60.43
100175,CUST2506,2022-06-04,37.58,Electronics,0,New,0,Central,72.31
100176,CUST0466,2023-12-02,100.82,Home,0,New,0,South,171.14
100177,CUST0685,2024-05-09,52.05,Electronics,0,New,0,Central,150.73
100178,CUST1044,2023-02-09,193.97,Home,0,High Value,0,North,140.19
100179,CUST1438,2023-06-22,129.15,Home,0,New,1,Central,88.93
100180,CUST0726,2024-02-08,191.34,Electronics,1,High Value,0,East,114.81
100181,CUST0197,2023-04-04,79.02,Home,1,Occasional,0,Central,118.54
100182,CUST1373,2022-03-09,34.35,Clothing,0,New,0,South,136.39
100183,CUST1852,2022-11-19,66.84,Clothing,0,New,1,East,60.99
100184,CUST1872,2024-03-30,102.84,Sports,0,New,0,South,90.26
100185,CUST1311,2022-10-26,91.86,Sports,0,New,0,Central,79.48
100186,CUST0440,2022-05-10,97.83,Sports,0,New,0,East,184.47
100187,CUST0599,2022-01-30,97.07,Electronics,0,New,0,West,161.2
100188,CUST1932,2022-03-24,132.6,Sports,0,New,0,North,132.17
100189,CUST2921,2022-11-24,84.73,Home,1,Occasional,1,West,63.93
100190,CUST2107,2022-09-09,182.88,Home,0,High Value,0,East,52.11
100191,CUST0963,2024-07-27,168.34,Clothing,0,High Value,0,North,100.21
100192,CUST1752,2023-01-29,174.43,Sports,0,High Value,0,North,118.75
100193,CUST2654,2024-11-22,84.71,Electronics,0,New,1,North,129.73
100194,CUST1635,2022-02-21,35.74,Sports,0,New,0,North,148.72
100195,CUST1092,2024-01-25,38.9,Electronics,0,New,0,West,78.62
100196,CUST1127,2023-05-19,150.59,Sports,0,High Value,0,East,93.38
100197,CUST2729,2022-02-04,130.2,Clothing,0,New,0,West,128.13
100198,CUST2588,2024-02-23,172.5,Sports,0,High Value,0,South,67.34
100199,CUST1470,2022-03-28,134.35,Clothing,0,New,0,South,169.03
100200,CUST2251,2022-10-27,114.04,Sports,0,New,0,North,184.52
100201,CUST1275,2023-07-26,75.24,Home,0,New,0,West,150.3
100202,CUST1811,2022-04-15,101.32,Electronics,0,New,0,North,116.74
100203,CUST1214,2024-02-01,86.74,Electronics,0,New,0,South,113.86
100204,CUST2048,2022-02-25,156.01,Sports,0,High Value,0,East,165.03
100205,CUST1292,2024-04-02,61.78,Electronics,0,New,0,West,50.9
100206,CUST2620,2022-02-23,36.01,Sports,0,New,0,West,182.03
100207,CUST1766,2022-03-26,96.05,Clothing,0,New,0,East,138.42
100208,CUST0258,2023-06-23,107.31,Clothing,0,New,0,West,175.88
100209,CUST0604,2023-04-28,82.42,Clothing,0,New,0,West,195.57
100210,CUST1040,2022-10-14,197.07,Home,0,High Value,0,South,175.87
100211,CUST1494,2022-04-16,102.58,Clothing,0,New,0,Central,65.59
100212,CUST1965,2023-05-01,181.48,Clothing,0,High Value,0,Central,167.15
100213,CUST0221,2022-02-21,146.68,Home,1,Occasional,0,West,146.77
100214,CUST2161,2023-07-27,135.23,Clothing,0,New,0,South,168.19
100215,CUST2908,2022-10-04,43.53,Sports,0,New,0,North,179.34
100216,CUST2542,2022-12-13,199.04,Sports,0,High Value,1,West,159.8
100217,CUST0552,2024-03-13,158.47,Home,0,High Value,0,South,170.8
100218,CUST2938,2024-09-16,93.93,Clothing,0,New,0,East,151.67
100219,CUST1179,2022-10-27,66.27,Sports,1,Occasional,0,South,113.93
100220,CUST0662,2023-11-05,70.78,Sports,0,New,1,Central,113.35
100221,CUST0524,2022-02-28,67.49,Home,0,New,0,West,186.48
100222,CUST2173,2024-06-07,164.92,Clothing,0,High Value,0,South,199.51
100223,CUST1577,2022-04-21,187.62,Sports,0,High Value,0,North,168.94
100224,CUST0760,2024-04-07,30.15,Sports,0,New,0,West,180.49
100225,CUST2107,2023-04-06,40.91,Home,1,Occasional,0,North,144.48
100226,CUST1204,2024-01-16,183.07,Electronics,0,High Value,0,North,168.22
100227,CUST1780,2022-06-15,95.16,Home,0,New,1,South,107.88
100228,CUST2657,2023-04-22,98.84,Electronics,0,New,0,South,181.02
100229,CUST0172,2022-08-05,43.42,Sports,0,New,0,East,92.84
100230,CUST2176,2024-05-03,76.47,Sports,0,New,0,East,88.22
100231,CUST0776,2024-07-13,107.46,Electronics,0,New,0,Central,78.49
100232,CUST2082,2023-10-31,164.39,Sports,0,High Value,0,Central,138.15
100233,CUST2338,2023-12-22,70.7,Sports,0,New,0,East,124.54
100234,CUST0067,2022-05-27,46.01,Home,0,New,0,Central,74.52
100235,CUST1509,2023-02-18,197.67,Home,0,High Value,0,East,164.21
100236,CUST0039,2022-10-14,80.44,Home,0,New,0,South,64.39
100237,CUST1484,2023-04-12,195.0,Electronics,0,High Value,0,South,87.93
100238,CUST0513,2022-07-05,55.86,Sports,0,New,0,East,93.62
100239,CUST2242,2022-04-10,138.32,Sports,0,New,0,West,171.26
100240,CUST2269,2022-06-26,88.95,Home,0,New,0,North,144.16
100241,CUST2026,2024-01-30,114.79,Electronics,0,New,0,North,85.59
100242,CUST0647,2023-02-27,143.45,Clothing,0,New,0,West,166.09
100243,CUST2917,2024-03-15,20.79,Electronics,0,New,0,East,67.95
100244,CUST1837,2023-11-04,107.62,Home,0,New,0,South,125.62
100245,CUST1124,2023-10-01,33.11,Sports,0,New,0,West,165.48
100246,CUST1589,2024-04-20,161.83,Electronics,0,High Value,0,West,67.29
100247,CUST1024,2023-06-12,57.18,Home,0,New,1,Central,63.3
100248,CUST1184,2023-04-22,132.22,Electronics,0,New,0,East,162.64
100249,CUST1666,2022-10-09,105.43,Home,0,New,0,South,93.79
100250,CUST0884,2024-10-30,145.37,Electronics,1,Occasional,0,East,63.62
100251,CUST0242,2024-05-08,112.18,Home,0,New,0,East,69.05
100252,CUST2897,2022-10-21,66.15,Electronics,0,New,0,Central,86.56
100253,CUST1610,2023-12-18,181.53,Electronics,0,High Value,0,North,116.13
100254,CUST0423,2023-12-04,111.45,Electronics,0,New,1,North,127.94
100255,CUST1578,2023-07-06,37.97,Sports,0,New,0,Central,55.44
100256,CUST2570,2022-08-25,71.47,Sports,0,New,0,West,177.92
100257,CUST2224,2023-01-16,105.44,Sports,0,New,0,South,104.1
100258,CUST2359,2023-06-09,167.25,Home,0,High Value,1,East,161.88
100259,CUST1921,2023-07-28,158.59,Sports,1,High Value,0,West,117.24
100260,CUST1629,2024-04-28,158.25,Sports,0,High Value,0,East,193.28
100261,CUST0030,2024-09-07,69.16,Clothing,0,New,0,West,168.05
100262,CUST1729,2024-05-03,124.82,Clothing,0,New,0,North,123.28
100263,CUST1052,2023-09-21,133.28,Electronics,0,New,0,North,162.36
100264,CUST1647,2024-11-16,192.65,Clothing,0,High Value,0,East,184.63
100265,CUST2872,2023-03-06,83.18,Clothing,0,New,0,North,149.42
100266,CUST1175,2022-11-14,124.03,Electronics,0,New,1,Central,175.09
100267,CUST1715,2023-08-11,170.27,Sports,0,High Value,0,East,156.74
100268,CUST0704,2024-05-13,115.7,Home,0,New,0,South,177.47
100269,CUST0749,2024-05-30,122.67,Clothing,0,New,0,North,69.73
100270,CUST2755,2024-09-04,186.59,Home,1,High Value,0,East,181.25
100271,CUST1496,2023-04-05,189.26,Electronics,0,High Value,0,West,93.76
100272,CUST0065,2023-09-13,102.73,Clothing,0,New,0,Central,164.45
100273,CUST2324,2024-10-26,81.83,Home,1,Occasional,0,South,181.66
100274,CUST2662,2023-07-14,122.0,Clothing,0,New,0,West,92.54
100275,CUST1058,2022-10-17,155.89,Home,0,High Value,0,East,163.7
100276,CUST0726,2024-07-27,28.11,Electronics,2,Occasional,0,West,129.77
100277,CUST0530,2022-05-24,105.12,Clothing,0,New,0,Central,155.39
100278,CUST2289,2024-04-25,66.29,Clothing,0,New,0,North,51.09
100279,CUST2844,2024-07-28,184.11,Sports,0,High Value,0,East,56.56
100280,CUST2502,2023-05-14,117.94,Sports,0,New,0,North,159.31
100281,CUST1000,2023-05-20,84.89,Home,0,New,0,East,98.77
100282,CUST2051,2023-11-11,170.45,Sports,0,High Value,1,North,95.19
100283,CUST2344,2022-01-21,62.98,Sports,0,New,0,North,98.43
100284,CUST0258,2022-05-30,198.66,Clothing,1,High Value,0,West,198.52
100285,CUST0854,2023-02-18,38.7,Electronics,0,New,0,East,189.92
100286,CUST0158,2023-05-22,147.81,Electronics,0,New,0,East,161.34
100287,CUST0967,2023-06-01,189.55,Electronics,0,High Value,1,North,130.22
100288,CUST2801,2023-11-07,103.51,Sports,0,New,1,West,112.83
100289,CUST1173,2023-04-01,20.54,Electronics,0,New,0,Central,141.61
100290,CUST0361,2022-11-06,92.06,Home,0,New,1,West,144.92
100291,CUST2178,2023-06-09,195.94,Home,0,High Value,1,Central,52.17
100292,CUST0984,2023-03-23,179.7,Electronics,0,High Value,0,West,149.05
100293,CUST1571,2022-05-10,142.29,Electronics,0,New,0,East,102.42
100294,CUST2544,2023-03-23,193.7,Sports,0,High Value,0,North,177.41
100295,CUST2338,2023-05-06,192.62,Sports,1,High Value,0,North,89.1
100296,CUST2103,2024-09-03,105.99,Home,0,New,0,South,59.95
100297,CUST0604,2024-08-05,84.29,Sports,1,Occasional,0,North,183.94
100298,CUST1379,2024-04-27,130.4,Clothing,0,New,0,Central,196.92
100299,CUST2949,2024-07-01,168.2,Sports,0,High Value,0,Central,59.29
100300,CUST2453,2024-12-13,199.52,Electronics,0,High Value,1,North,157.59
100301,CUST0927,2023-12-23,173.99,Clothing,0,High Value,0,West,165.91
100302,CUST1201,2023-06-23,68.71,Electronics,0,New,0,South,92.62
100303,CUST2933,2022-02-16,169.91,Sports,0,High Value,0,North,71.22
100304,CUST0269,2024-11-20,21.78,Electronics,0,New,0,Central,122.96
100305,CUST0121,2022-11-27,106.28,Sports,0,New,1,South,101.79
100306,CUST0555,2024-10-19,125.59,Home,0,New,0,South,183.52
100307,CUST1228,2024-07-19,172.82,Clothing,1,High Value,0,Central,51.63
100308,CUST2847,2023-06-23,47.06,Home,0,New,0,North,84.91
100309,CUST1159,2024-10-17,98.58,Electronics,0,New,0,East,81.92
100310,CUST1267,2024-10-09,179.54,Clothing,0,High Value,0,South,98.74
100311,CUST0339,2022-09-19,165.63,Electronics,0,High Value,0,North,175.14
100312,CUST0813,2023-04-19,132.66,Home,0,New,0,North,68.72
100313,CUST2046,2023-01-30,125.27,Home,0,New,0,South,114.0
100314,CUST0220,2022-12-29,136.04,Clothing,0,New,1,Central,151.65
100315,CUST2475,2023-08-18,69.59,Sports,0,New,0,North,95.87
100316,CUST1172,2024-07-17,133.94,Sports,0,New,0,Central,68.33
100317,CUST0078,2023-04-14,191.12,Sports,0,High Value,0,North,55.3
100318,CUST2751,2024-05-15,133.39,Sports,0,New,0,East,65.73
100319,CUST1327,2023-11-05,167.23,Clothing,0,High Value,1,Central,60.3
100320,CUST0870,2022-07-05,155.52,Electronics,0,High Value,0,West,74.28
100321,CUST2558,2022-06-14,186.49,Home,0,High Value,1,South,199.34
100322,CUST1279,2023-09-13,36.94,Sports,0,New,0,East,62.24
100323,CUST1438,2023-04-07,26.92,Clothing,1,Occasional,0,East,110.03
100324,CUST2307,2022-12-21,218.03,Electronics,0,High Value,1,East,51.42
100325,CUST0948,2023-11-01,92.21,Home,0,New,0,Central,181.52
100326,CUST2759,2022-05-03,25.06,Home,0,New,0,North,172.44
100327,CUST1582,2022-12-13,32.94,Electronics,0,New,1,North,142.18
100328,CUST2863,2023-06-18,204.55,Clothing,0,High Value,1,Central,55.41
100329,CUST1571,2022-02-28,124.69,Electronics,1,Occasional,0,South,132.4
100330,CUST2795,2023-11-01,155.31,Electronics,0,High Value,1,West,178.0
100331,CUST2613,2023-06-11,37.61,Electronics,0,New,1,East,138.85
100332,CUST1961,2022-08-14,92.87,Electronics,0,New,0,West,179.55
100333,CUST2219,2022-01-17,109.9,Home,0,New,0,East,180.16
100334,CUST2231,2024-11-20,83.7,Electronics,0,New,1,South,193.96
100335,CUST0376,2023-09-08,32.88,Home,0,New,0,Central,172.06
100336,CUST1910,2024-08-27,21.69,Clothing,0,New,0,East,85.16
100337,CUST1423,2023-05-16,152.86,Clothing,0,High Value,0,Central,91.65
100338,CUST2554,2022-07-25,177.39,Clothing,0,High Value,0,West,108.89
100339,CUST0208,2022-12-02,177.13,Sports,1,High Value,0,Central,127.23
100340,CUST0355,2022-04-11,73.32,Home,0,New,0,East,187.68
100341,CUST0286,2023-11-29,173.31,Sports,0,High Value,0,West,117.02
100342,CUST1266,2024-08-22,169.04,Sports,0,High Value,0,West,150.58
100343,CUST2620,2022-06-09,184.69,Sports,1,High Value,0,East,147.13
100344,CUST1231,2023-06-24,182.89,Sports,0,High Value,1,North,143.88
100345,CUST0324,2024-06-19,46.57,Sports,0,New,1,East,88.25
100346,CUST2515,2023-08-11,93.86,Home,0,New,0,North,178.71
100347,CUST1595,2023-03-28,117.5,Electronics,0,New,0,East,94.76
100348,CUST1496,2024-01-07,177.25,Electronics,1,High Value,0,Central,123.05
100349,CUST2074,2023-01-07,70.0,Clothing,0,New,0,Central,160.64
100350,CUST1642,2023-06-03,78.95,Electronics,0,New,1,South,71.22
100351,CUST0570,2024-12-20,79.92,Sports,0,New,1,South,133.57
100352,CUST1248,2023-12-21,55.07,Home,0,New,1,East,84.17
100353,CUST2782,2022-03-25,77.26,Clothing,0,New,0,East,170.01
100354,CUST1309,2023-11-15,99.0,Home,0,New,1,South,106.24
100355,CUST2440,2023-12-10,185.77,Home,0,High Value,1,East,187.17
100356,CUST1596,2024-06-08,182.35,Electronics,0,High Value,1,West,109.94
100357,CUST2484,2022-01-01,25.56,Sports,0,New,0,Central,95.17
100358,CUST2333,2022-04-25,113.03,Clothing,0,New,0,North,115.41
100359,CUST1802,2023-10-16,90.01,Sports,0,New,0,North,156.31
100360,CUST0885,2022-09-24,59.97,Clothing,0,New,0,West,153.02
100361,CUST0784,2023-12-13,40.49,Sports,0,New,0,North,116.88
100362,CUST0345,2023-02-28,118.07,Home,0,New,0,West,176.81
100363,CUST0559,2022-07-03,198.78,Electronics,0,High Value,0,East,79.84
100364,CUST2919,2023-07-17,175.57,Electronics,1,High Value,0,East,69.37
100365,CUST0440,2024-03-07,198.18,Sports,1,High Value,0,East,172.44
100366,CUST2156,2022-10-06,179.45,Electronics,0,High Value,0,Central,146.39
100367,CUST1771,2024-11-04,157.28,Electronics,0,High Value,1,East,96.04
100368,CUST1858,2024-06-04,56.26,Clothing,0,New,1,South,179.99
100369,CUST2744,2024-12-13,115.5,Sports,0,New,1,South,139.62
100370,CUST2515,2023-03-09,62.05,Electronics,1,Occasional,0,East,136.27
100371,CUST1179,2022-11-11,41.02,Electronics,2,Occasional,0,North,88.15
100372,CUST2230,2022-12-01,75.97,Home,0,New,1,South,118.56
100373,CUST2721,2022-09-28,169.24,Sports,0,High Value,0,South,81.52
